"Wavelength (nm)","T"
1435,74.55491
1436,74.30834
1437,74.65767
1438,74.84204
1439,74.65366
1440,75.09103
1441,75.14734
1442,74.9985
1443,75.46884
1444,75.87859
1445,75.73496
1446,75.8598
1447,76.24181
1448,76.03878
1449,75.7904
1450,76.18336
1451,76.31828
1452,76.10343
1453,76.57927
1454,76.58028
1455,76.45271
1456,76.9493
1457,76.82112
1458,76.81414
1459,77.28451
1460,77.05607
1461,77.206
1462,77.58781
1463,77.33441
1464,77.63326
1465,77.89158
1466,77.63564
1467,78.0606
1468,78.17828
1469,77.94945
1470,78.45971
1471,78.41409
1472,78.31242
1473,78.80894
1474,78.64536
1475,78.6925
1476,79.13231
1477,78.87539
1478,79.09415
1479,79.45293
1480,79.17324
1481,79.54733
1482,79.75112
1483,79.49533
1484,79.93842
1485,79.99162
1486,79.81879
1487,80.29207
1488,80.18073
1489,80.15749
1490,80.60746
1491,80.39934
1492,80.54512
1493,80.93113
1494,80.65648
1495,80.91629
1496,81.17131
1497,80.92285
1498,81.31424
1499,81.427
1500,81.24706
1501,81.71131
1502,81.65263
1503,81.56301
1504,82.03275
1505,81.85776
1506,81.90071
1507,82.31001
1508,82.06423
1509,82.25153
1510,82.55869
1511,82.2892
1512,82.60535
1513,82.79179
1514,82.5378
1515,82.95805
1516,83.00085
1517,82.84607
1518,83.2847
1519,83.20457
1520,83.15469
1521,83.57145
1522,83.3709
1523,83.45211
1524,83.81714
1525,83.55607
1526,83.7757
1527,84.0258
1528,83.76736
1529,84.08006
1530,84.22858
1531,84.00834
1532,84.40995
1533,84.41847
1534,84.30554
1535,84.70146
1536,84.58045
1537,84.55504
1538,84.94234
1539,84.72155
1540,84.81433
1541,85.16089
1542,84.9102
1543,85.11531
1544,85.35242
1545,85.10424
1546,85.3752
1547,85.50217
1548,85.27897
1549,85.62891
1550,85.64846
1551,85.51466
1552,85.89514
1553,85.82605
1554,85.76964
1555,86.11118
1556,85.97543
1557,85.99621
1558,86.29092
1559,86.10923
1560,86.23267
1561,86.45706
1562,86.26173
1563,86.4592
1564,86.61317
1565,86.44327
1566,86.67113
1567,86.76165
1568,86.63055
1569,86.87901
1570,86.89804
1571,86.82574
1572,87.04598
1573,87.02372
1574,87.01356
1575,87.20609
1576,87.18851
1577,87.20435
1578,87.37189
1579,87.35963
1580,87.43448
1581,87.52013
1582,87.53868
1583,87.58073
1584,87.63775
1585,87.66603
1586,87.75011
1587,87.79532
1588,87.86042
1589,87.90974
1590,87.94369
1591,88.01482
1592,88.07681
1593,88.12402
1594,88.2037
1595,88.23598
1596,88.2769
1597,88.3419
1598,88.37963
1599,88.44312
1600,88.4915
1601,88.51366
1602,88.57816
1603,88.58238
1604,88.59432
1605,88.70668
1606,88.71271
1607,88.76327
1608,88.87763
1609,88.84203
1610,88.89421
1611,88.98897
1612,88.91386
1613,89.0414
1614,89.10925
1615,89.04346
1616,89.23174
